num_reserves,mitjana_temps_ms,mitjana_reserves_assignades,timeouts_errors,exit_ratio
1,103.43289375305176,0.8,2,8/10
2,101.77731513977051,0.8,6,4/10
3,102.60038375854492,1.2,6,4/10
4,102.35381126403809,0.0,10,0/10
5,98.78177642822266,0.0,10,0/10
6,97.75123596191406,0.6,9,1/10
7,98.46434593200684,0.0,10,0/10
8,98.30012321472168,0.0,10,0/10
9,105.14099597930908,0.0,10,0/10
10,105.88829517364502,0.0,10,0/10
