num_reserves,num_habitacions,num_dies,conflict_ratio,mitjana_temps_ms,assignades_avg,descartades_avg,pct_assignades,pct_descartades,errors
10,6,30,0.6,102.47292518615723,10.0,0.0,100.0,0.0,0
20,12,30,0.6,559.1880321502686,20.0,0.0,100.0,0.0,0
30,18,30,0.6,2953.104782104492,30.0,0.0,100.0,0.0,0
40,24,30,0.6,9864.33916091919,40.0,0.0,100.0,0.0,0
50,30,30,0.6,29768.12343597412,50.0,0.0,100.0,0.0,0
